Name;Chevaux;Partants;Victoires;Places;Allocation tot.;Prime Prop.;Alloc. + Prime Prop.;Prim. Eleveur;Gain/Part.;Gain/Chev.;Course/Chev.
EMILIEN PUILLET-RODA;139;219;27;104;334869,00;131427,00;466296,00;59284,00;1529,08;2409;2
MME MANON GERMAIN;114;195;27;83;376029,00;186070,00;562099,00;61406,00;1928,35;3298;2
IORITZ MENDIZABAL;226;330;25;167;688871,00;398860,00;1087731,00;132894,00;2087,49;3048;1
GABRIEL BON;79;134;25;62;171701,00;79963,00;251664,00;32074,00;1281,35;2173;2
BENJAMIN MARIE;224;409;24;184;659309,00;296812,00;956121,00;107947,00;1612,00;2943;2
FABIEN LEFEBVRE;100;204;24;90;350101,00;135254,00;485355,00;51622,00;1716,18;3501;2
ANTOINE WERLE;159;317;23;170;530111,00;181796,00;711907,00;97484,00;1672,27;3334;2
JEROME CLAUDIC;162;263;23;107;368127,00;134428,00;502555,00;59999,00;1399,72;2272;2
EDDY HARDOUIN;269;452;22;228;700167,00;324991,00;1025158,00;111186,00;1549,04;2603;2
LEO ROUSSEL;148;233;22;110;432492,00;206866,00;639358,00;76675,00;1856,19;2922;2
MME FRIDA VALLE SKAR;137;281;22;103;405650,00;196905,00;602555,00;69590,00;1443,59;2961;2
LUDOVIC BOISSEAU;200;388;21;156;457920,00;215063,00;672983,00;82007,00;1180,21;2290;2
MME AMBRE MOLINS;166;304;21;112;379378,00;147956,00;527334,00;53640,00;1247,95;2285;2
ALEJANDRO GUTIERREZ VAL;97;191;21;83;348712,00;183159,00;531871,00;60672,00;1825,72;3595;2
GUILLAUME TROLLEY DE PREVAUX;116;167;21;82;307933,00;155943,00;463876,00;52399,00;1843,91;2655;1
MME MICKAELLE MICHEL;231;379;20;119;424353,00;179087,00;603440,00;60783,00;1119,66;1837;2
RONAN THOMAS;99;219;20;95;725951,00;382600,00;1108551,00;116582,00;3314,84;7333;2
JULIEN GUILLOCHON;111;168;20;82;255645,00;93362,00;349007,00;43574,00;1521,70;2303;2
MATTHIAS LAURON;93;161;20;66;210281,00;112222,00;322503,00;41987,00;1306,09;2261;2
MME MARGOT ROMARY;136;212;19;89;296620,00;136703,00;433323,00;55451,00;1399,15;2181;2
SAMY LE QUILLEUC;84;131;19;55;208915,00;110251,00;319166,00;39001,00;1594,77;2487;2
LUKA ROUSSEAU;46;84;19;51;223135,00;28845,00;251980,00;37989,00;2656,37;4851;2
MME CORALIE PACAUT;145;266;18;137;389026,00;177616,00;566642,00;60318,00;1462,50;2683;2
VALENTIN SEGUY;119;198;18;97;352968,00;137100,00;490068,00;66316,00;1782,67;2966;2
SYLVAIN RUIS;94;173;18;89;390823,00;246941,00;637764,00;63824,00;2259,09;4158;2
ARNAUD BOURGEAIS;60;88;18;46;213581,00;51924,00;265505,00;36163,00;2427,06;3560;1
AXEL BARON;103;199;17;90;346756,00;154513,00;501269,00;58863,00;1742,49;3367;2
ROMAIN DUBORD;83;140;17;56;203823,00;86891,00;290714,00;33204,00;1455,88;2456;2
ROSARIO MANGIONE;164;274;16;112;447684,00;204944,00;652628,00;68554,00;1633,88;2730;2
CHRISTOPHER GROSBOIS;159;242;16;105;236277,00;84944,00;321221,00;42076,00;976,35;1486;2
DAVID BREUX;147;226;16;90;294076,00;133042,00;427118,00;53070,00;1301,22;2001;2
YOANN BARILLE;102;158;16;70;165397,00;50752,00;216149,00;28037,00;1046,82;1622;2
MAXENCE MARQUETTE;92;133;16;60;205516,00;74411,00;279927,00;27601,00;1545,23;2234;1
LUCA CARBONI;91;122;16;56;266603,00;132741,00;399344,00;38407,00;2185,27;2930;1
MME MANON FLEURY;54;126;16;49;165675,00;63873,00;229548,00;27034,00;1314,88;3068;2
WARREN LEVESQUE;97;134;15;54;168366,00;73390,00;241756,00;29137,00;1256,46;1736;1
MME LAURA GROSSO;74;111;14;47;173023,00;40153,00;213176,00;28790,00;1558,77;2338;2
HUGO MOUESAN;130;207;13;105;338184,00;169200,00;507384,00;55028,00;1633,74;2601;2
CHRISTOPHER RAIMBAULT;82;142;13;76;194983,00;100088,00;295071,00;38088,00;1373,12;2378;2
ENZO CORALLO;70;110;13;60;223390,00;118346,00;341736,00;39363,00;2030,82;3191;2
NUNO MANUEL LOPES DUARTE;102;167;12;69;167898,00;54839,00;222737,00;22348,00;1005,38;1646;2
YOANN ROUSSET;86;129;12;55;143037,00;45204,00;188241,00;26321,00;1108,81;1663;2
OLIVIER D' ANDIGNE;72;111;12;54;265170,00;65679,00;330849,00;41589,00;2388,92;3683;2
JORDAN PLATEAUX;72;105;12;54;159900,00;24975,00;184875,00;28987,00;1522,86;2221;1
JEREMY MOISAN;45;93;12;48;117569,00;57935,00;175504,00;21290,00;1264,18;2613;2
MME MARYLINE EON;83;97;12;42;206530,00;100493,00;307023,00;36679,00;2129,18;2488;1
LAURENT DOREAU;24;55;12;40;154465,00;6471,00;160936,00;27704,00;2808,45;6436;2
MICKAEL FOREST;130;215;11;105;313885,00;126820,00;440705,00;58192,00;1459,93;2414;2
MAXIME FOULON;119;219;11;103;288359,00;124671,00;413030,00;56565,00;1316,71;2423;2
LEONARD PLOMMEE;109;178;11;76;237555,00;99925,00;337480,00;33954,00;1334,58;2179;2
ANTHONY BERNARD;123;183;11;74;140987,00;40827,00;181814,00;24317,00;770,42;1146;1
CLEMENT CADEL;83;125;11;65;128743,00;39451,00;168194,00;23137,00;1029,94;1551;2
GLEN MEURY;130;189;10;82;220431,00;97144,00;317575,00;30812,00;1166,30;1696;1
THOMAS TRULLIER;112;146;10;78;268090,00;114446,00;382536,00;39134,00;1836,23;2394;1
MME ANAELLE MEKOUCHE;87;144;10;69;178146,00;60237,00;238383,00;29627,00;1237,13;2048;2
MAXIMILIEN JUSTUM;106;155;10;61;131708,00;52377,00;184085,00;23592,00;849,73;1243;1
MME LORETTE GALLO;53;110;10;52;202502,00;114751,00;317253,00;39078,00;1840,93;3821;2
MME LEA BAILS;82;151;10;49;185840,00;68844,00;254684,00;24090,00;1230,73;2266;2
CESAR BELMONT;77;123;10;49;157832,00;70516,00;228348,00;22688,00;1283,19;2050;2
MME SOPHIE CHUETTE;58;102;10;46;123771,00;52515,00;176286,00;22574,00;1213,44;2134;2
BERTRAND FLANDRIN;56;94;10;42;147212,00;51381,00;198593,00;20376,00;1566,09;2629;2
THOMAS BLANCHOUIN;43;72;10;41;129162,00;58610,00;187772,00;22820,00;1793,92;3004;2
PIERRE BAZIRE;117;187;8;72;207573,00;95303,00;302876,00;31903,00;1110,02;1774;2
CLEMENT MERILLE;49;96;8;54;166027,00;58973,00;225000,00;31544,00;1729,45;3388;2
MME PERRINE CHEYER;94;146;8;53;124059,00;44868,00;168927,00;19816,00;849,72;1320;2
EBBE VERHESTRAETEN;39;72;8;30;127439,00;37130,00;164569,00;11485,00;1769,99;3268;2
GUILLAUME MILLET;64;113;7;67;186360,00;89375,00;275735,00;31230,00;1649,20;2912;2
MAEL LE CALLONEC;71;102;7;53;126425,00;60983,00;187408,00;23891,00;1239,46;1781;1
SIMON PLANQUE;69;101;7;45;136795,00;53436,00;190231,00;21228,00;1354,41;1983;1
VINCENT CHENET;44;68;7;28;93640,00;21631,00;115271,00;17269,00;1377,06;2128;2
MME MARIE WALDHAUSER;32;44;7;18;69273,00;22445,00;91718,00;12531,00;1574,39;2165;1
LEON WOLFF;21;29;7;9;107436,00;56243,00;163679,00;16844,00;3704,69;5116;1
MME LAURA POGGIONOVO;98;154;6;66;138946,00;37878,00;176824,00;24238,00;902,25;1418;2
ANTOINE SUBIAS;78;118;6;52;118213,00;42004,00;160217,00;20347,00;1001,81;1516;2
STEPHANE BREUX;89;146;6;50;109218,00;42842,00;152060,00;13303,00;748,07;1227;2
MME MATHILDE CABAL;52;77;6;41;73243,00;26778,00;100021,00;11835,00;951,21;1409;1
GARY SANCHEZ;67;110;6;36;101174,00;57436,00;158610,00;20755,00;919,76;1510;2
SOUFIANE SAADI;53;70;6;30;86246,00;35370,00;121616,00;12928,00;1232,09;1627;1
MME SHANA TOPIN;43;62;6;22;68055,00;25865,00;93920,00;12146,00;1097,66;1583;1
ENZO CRUBLET;36;41;6;22;48515,00;16701,00;65216,00;8628,00;1183,29;1348;1
STEPHANE LADJADJ;24;34;6;18;117743,00;54325,00;172068,00;16394,00;3463,03;4906;1
LOUIS NOMIS;34;44;6;16;84586,00;48537,00;133123,00;14723,00;1922,41;2488;1
RICARDO SOUSA FERREIRA;20;22;6;10;69790,00;34395,00;104185,00;12871,00;3172,27;3490;1
CLEMENT GUITRAUD;19;24;6;10;56460,00;11325,00;67785,00;9531,00;2352,50;2972;1
MME MARINA BRUNELLI;35;97;5;53;122975,00;54395,00;177370,00;18303,00;1267,78;3514;3
MME JULIA LACROIX;26;123;5;46;86253,00;36673,00;122926,00;15663,00;701,24;3317;5
ARTHUR VILCHIEN;44;68;5;32;125025,00;72710,00;197735,00;24276,00;1838,60;2841;2
ARTHUR MOSSE;30;63;5;31;84455,00;30401,00;114856,00;13219,00;1340,56;2815;2
FRANCK TORRALBA;29;68;5;30;45510,00;24906,00;70416,00;8827,00;669,26;1569;2
DAMIEN MORIN;43;79;5;29;87460,00;40643,00;128103,00;15668,00;1107,09;2034;2
JACKY NICOLEAU;49;62;5;27;74900,00;32521,00;107421,00;10983,00;1208,06;1529;1
MARTIN PROTTI;43;58;5;21;61612,00;23051,00;84663,00;10559,00;1062,28;1433;1
MATHIEU CALBRIX;33;53;5;19;78772,00;43115,00;121887,00;14401,00;1486,26;2387;2
LUCAS ZULIANI;13;16;5;10;61401,00;0,00;61401,00;10786,00;3837,56;4723;1
MME LUANA DUPELIN LALUNG;17;50;4;26;38790,00;24251,00;63041,00;7967,00;775,80;2282;3
DYLAN ALBERCA-GAVILAN;35;53;4;25;73050,00;29870,00;102920,00;12044,00;1378,30;2087;2
MME CECILIA POIRIER;50;62;4;24;43267,00;10531,00;53798,00;7696,00;697,85;865;1
MME ALISON MASSIN;31;44;4;12;58815,00;26755,00;85570,00;8662,00;1336,70;1897;1
LOUIS BOUTON;23;28;4;12;53226,00;25399,00;78625,00;7455,00;1900,93;2314;1
JAMES WILLIAM DOYLE;16;18;4;9;357558,00;114595,00;472153,00;39796,00;19864,33;22347;1
REMI CAMPOS;8;17;4;9;46712,00;21019,00;67731,00;7210,00;2747,76;5839;2
ALEXANDRE LASTRAJOLI;13;22;4;9;43910,00;11293,00;55203,00;8113,00;1995,91;3378;2
LEO-PAUL BRECHET;17;20;4;9;42645,00;7995,00;50640,00;7606,00;2132,25;2509;1
MME ELAURA CIESLIK;9;10;4;4;33435,00;4009,00;37444,00;6093,00;3343,50;3715;1
MME ADELINE MEROU;54;108;3;46;66227,00;24047,00;90274,00;12249,00;613,21;1226;2
GABRIELE CONGIU;21;75;3;36;66714,00;32409,00;99123,00;11009,00;889,52;3177;4
JENTE MARIEN;45;81;3;30;63960,00;25963,00;89923,00;9856,00;789,63;1421;2
ANTHONY CARAMANOLIS;23;33;3;22;31360,00;16415,00;47775,00;5690,00;950,30;1363;1
AURELIEN BALLY;23;35;3;17;39087,00;19135,00;58222,00;7434,00;1116,77;1699;2
AXIL GUILLOTEAU;29;38;3;11;26275,00;16551,00;42826,00;5516,00;691,45;906;1
VACLAV JANACEK;20;26;3;10;59815,00;12514,00;72329,00;5056,00;2300,58;2991;1
ADRIAN LE LAY MARTIN;17;31;3;10;39018,00;17785,00;56803,00;5566,00;1258,65;2295;2
RUDY PIMBONNET;10;30;3;9;37234,00;17121,00;54355,00;7078,00;1241,13;3723;3
OISIN MURPHY;17;17;3;7;570502,00;26745,00;597247,00;6979,00;33558,94;33559;1
MME LEANE DAVID;18;26;3;7;21000,00;5197,00;26197,00;3126,00;807,69;1167;1
KIERAN SHOEMARK;11;15;3;6;376360,00;0,00;376360,00;0,00;25090,67;34215;1
MME MICHAELA MALACOVA;12;19;3;6;32512,00;14571,00;47083,00;5188,00;1711,16;2709;2
PIERRE LE DIGABEL;6;9;3;1;19860,00;5697,00;25557,00;2567,00;2206,67;3310;2
SEBASTIEN JUST;37;67;2;32;50862,00;9447,00;60309,00;9334,00;759,13;1375;2
ANTOINE HAMELIN;45;48;2;28;121676,00;62121,00;183797,00;21831,00;2534,92;2704;1
MME ANGELA DAIFI;33;52;2;24;59271,00;37552,00;96823,00;12467,00;1139,83;1796;2
MME ESTHER RUTH WEISSMEIER;30;57;2;20;41092,00;16848,00;57940,00;6736,00;720,91;1370;2
MME AXELLE NICCO;18;38;2;19;40770,00;9813,00;50583,00;7030,00;1072,89;2265;2
MME AMANDINE SEIGNOUX;19;39;2;19;37940,00;5575,00;43515,00;6847,00;972,82;1997;2
MME CHEYENNE BANZ;24;31;2;17;34735,00;19008,00;53743,00;6761,00;1120,48;1447;1
RICHARD JUTEAU;35;57;2;16;40616,00;13331,00;53947,00;6565,00;712,56;1160;2
RAFAEL PEHU;10;26;2;14;40331,00;17404,00;57735,00;7473,00;1551,19;4033;3
CHRISTOPHE BILLARDELLO;19;30;2;14;32777,00;17434,00;50211,00;5817,00;1092,57;1725;2
MARTIN SEIDL;25;37;2;12;49562,00;9427,00;58989,00;4199,00;1339,51;1982;1
BRUNO AUGUSTO PAIVA LOPES;12;29;2;12;40770,00;18766,00;59536,00;7735,00;1405,86;3398;2
THOMAS HENDERSON;15;22;2;9;34215,00;12950,00;47165,00;6463,00;1555,23;2281;1
MME CELESTINE BOUVIER;18;24;2;7;29790,00;9672,00;39462,00;3721,00;1241,25;1655;1
MME ALEXIA LUCAS TORON;8;25;2;7;23792,00;9880,00;33672,00;2863,00;951,68;2974;3
EMILIEN MANCEAU;7;11;2;6;21495,00;0,00;21495,00;3773,00;1954,09;3071;2
MME LEA SUISSE;11;16;2;6;15635,00;0,00;15635,00;2695,00;977,19;1421;1
RYAN-LEE MOORE;8;9;2;5;1682375,00;0,00;1682375,00;0,00;186930,56;210297;1
MME MARGAUX ANTZ;6;9;2;3;11526,00;1654,00;13180,00;1752,00;1280,67;1921;2
CALLUM SHEPHERD;3;4;2;2;96900,00;2565,00;99465,00;702,00;24225,00;32300;1
MME HOLLIE DOYLE;3;4;2;1;75095,00;0,00;75095,00;0,00;18773,75;25032;1
DAVID EGAN;4;4;2;1;63640,00;0,00;63640,00;0,00;15910,00;15910;1
MME BRYONY FROST;4;4;2;1;12025,00;0,00;12025,00;2164,00;3006,25;3006;1
MME SOPHIE TISON;51;91;1;36;70760,00;25494,00;96254,00;9198,00;777,58;1387;2
GREGOIRE LEGRAS;48;72;1;31;49540,00;24056,00;73596,00;8760,00;688,06;1032;2
FRANCK FORESI;26;46;1;28;30874,00;9511,00;40385,00;5127,00;671,17;1187;2
MME SARAH AKARI-SOUIDANE;40;64;1;21;21532,00;11128,00;32660,00;4234,00;336,44;538;2
DYLAN SALMON;34;46;1;16;51352,00;26196,00;77548,00;9423,00;1116,35;1510;1
ALEX BENDJAMA;17;36;1;16;26645,00;10267,00;36912,00;5056,00;740,14;1567;2
CORENTIN BERGE;30;38;1;13;29379,00;14094,00;43473,00;4896,00;773,13;979;1
XAVIER BERGERON;12;21;1;12;21836,00;9251,00;31087,00;4100,00;1039,81;1820;2
MME NINON MARTEL;16;35;1;12;20330,00;7548,00;27878,00;2993,00;580,86;1271;2
MME CAMILLE COLLET-VIDAL;6;33;1;11;26678,00;13661,00;40339,00;4099,00;808,42;4446;6
THORE HAMMER-HANSEN;21;24;1;10;57275,00;15424,00;72699,00;4752,00;2386,46;2727;1
MOHAMMAD ZEESHAAN SAHEBJAN;31;63;1;10;23128,00;1698,00;24826,00;799,00;367,11;746;2
COSTANTINO CARBONI;11;18;1;10;16036,00;5027,00;21063,00;2737,00;890,89;1458;2
MME LIYA GAUBERT;13;24;1;10;12295,00;1557,00;13852,00;1979,00;512,29;946;2
CARLOS ANDRES LOAIZA;11;30;1;7;22772,00;12236,00;35008,00;4086,00;759,07;2070;3
JULES MOBIAN;9;12;1;7;14665,00;9887,00;24552,00;2396,00;1222,08;1629;1
MME CHLOE LECUYER;19;28;1;7;9230,00;770,00;10000,00;1415,00;329,64;486;1
SAM JAMES;10;11;1;6;77320,00;0,00;77320,00;0,00;7029,09;7732;1
MME MAELLE MORCEL;7;12;1;6;11170,00;6152,00;17322,00;2208,00;930,83;1596;2
MME CONSTANCE BERGES;10;15;1;6;8515,00;3830,00;12345,00;1294,00;567,67;852;2
MILAN ZATLOUKAL;6;10;1;5;15295,00;7003,00;22298,00;1964,00;1529,50;2549;2
FALEH NASSER BUGHENAIM;5;6;1;4;208480,00;26235,00;234715,00;14503,00;34746,67;41696;1
MME MEGANE PESLIER;5;11;1;4;18480,00;8316,00;26796,00;2275,00;1680,00;3696;2
BRANDON FLAMENT;13;15;1;4;14619,00;8113,00;22732,00;1972,00;974,60;1125;1
MME VICTORIA ALONSO VIDAL DE LA PENA;11;15;1;4;10811,00;2141,00;12952,00;656,00;720,73;983;1
MME MAIKE RIEHL;6;11;1;4;10728,00;4827,00;15555,00;2019,00;975,27;1788;2
SEBASTIANO DERIU;7;10;1;4;9663,00;4145,00;13808,00;1789,00;966,30;1380;1
MME ETHEL RABHI;5;11;1;4;8260,00;3716,00;11976,00;1554,00;750,91;1652;2
MME ENOLA POLLET;7;8;1;4;7900,00;3621,00;11521,00;1082,00;987,50;1129;1
SAMUEL LEGRIX;3;7;1;3;24450,00;1080,00;25530,00;452,00;3492,86;8150;2
JOSE DIOGO LOPES DUARTE;4;4;1;3;17758,00;8808,00;26566,00;3214,00;4439,50;4440;1
KENEGAN DENIEL;3;5;1;3;11600,00;0,00;11600,00;2087,00;2320,00;3867;2
CHARLES CLAYEUX;5;5;1;3;10566,00;3842,00;14408,00;1972,00;2113,20;2113;1
ANTHONY JARDEL;9;10;1;3;7325,00;3224,00;10549,00;1413,00;732,50;814;1
MME YONA BUGEAT;5;5;1;3;7020,00;0,00;7020,00;1156,00;1404,00;1404;1
CHRISTOPHE-PATRICE LEMAIRE;6;6;1;2;139290,00;0,00;139290,00;0,00;23215,00;23215;1
MME CANELLE CRINON;3;5;1;2;14210,00;6394,00;20604,00;2678,00;2842,00;4737;2
ANGEL GUSTAVO SERRANO PINERO;1;5;1;2;9520,00;4284,00;13804,00;1794,00;1904,00;9520;5
PABLO WERDER;4;5;1;2;7839,00;3527,00;11366,00;987,00;1567,80;1960;1
MME BEATRICE BOSSUET;2;3;1;2;7275,00;0,00;7275,00;1237,00;2425,00;3638;2
DAVID RODRIGUEZ;14;16;1;2;4900,00;0,00;4900,00;775,00;306,25;350;1
ANTOINE COUPU;6;7;1;2;4090,00;0,00;4090,00;672,00;584,29;682;1
DANIEL TUDHOPE;2;2;1;1;175080,00;2745,00;177825,00;544,00;87540,00;87540;1
PATRICK JAMES COSGRAVE;2;2;1;1;21500,00;4275,00;25775,00;1790,00;10750,00;10750;1
RUPAL SINGH;3;4;1;1;11550,00;8662,00;20212,00;2626,00;2887,50;3850;1
MME EVELYN AILEN RODRIGUEZ;2;3;1;1;8470,00;3811,00;12281,00;1575,00;2823,33;4235;2
THEO CHEVILLARD;3;3;1;1;6850,00;0,00;6850,00;1138,00;2283,33;2283;1
TOM LEFRANC;3;3;1;1;5450,00;0,00;5450,00;872,00;1816,67;1817;1
HECTOR CROUCH;2;2;1;0;130000,00;0,00;130000,00;0,00;65000,00;65000;1
ROB HORNBY;1;1;1;0;23800,00;0,00;23800,00;0,00;23800,00;23800;1
KAMIL GRZYBOWSKI;4;6;1;0;13500,00;6075,00;19575,00;2544,00;2250,00;3375;2
ADEL MOHAMMED MEELAD ALQEEYADI;1;1;1;0;13450,00;0,00;13450,00;0,00;13450,00;13450;1
JULIAN RESIMONT;1;1;1;0;10550,00;4747,00;15297,00;1300,00;10550,00;10550;1
ANTHONY BARZALONA;5;6;1;0;8500,00;3825,00;12325,00;1602,00;1416,67;1700;1
JACOB KVISLA;2;2;1;0;8500,00;0,00;8500,00;0,00;4250,00;4250;1
BERTRAND LESTRADE;1;2;1;0;5750,00;0,00;5750,00;1035,00;2875,00;5750;2
SEAN CLEARY-FARRELL;1;1;1;0;4750,00;0,00;4750,00;760,00;4750,00;4750;1
YVAN DELEPINE;2;2;1;0;4700,00;0,00;4700,00;846,00;2350,00;2350;1
GAETAN MASURE;2;2;1;0;4250,00;0,00;4250,00;680,00;2125,00;2125;1
KILLIAN MICHEL;1;1;1;0;3800,00;0,00;3800,00;608,00;3800,00;3800;1
BAPTISTE LE CLERC;1;1;1;0;3500,00;0,00;3500,00;560,00;3500,00;3500;1
MME MANON DOUDARD;1;1;1;0;3150,00;0,00;3150,00;504,00;3150,00;3150;1
THOMAS COURTALON;34;42;0;21;26880,00;8690,00;35570,00;4511,00;640,00;791;1
KOBE VANDERBEKE;11;31;0;21;26610,00;10722,00;37332,00;4398,00;858,39;2419;3
CHARLY BOUTTIER;21;28;0;15;16431,00;6223,00;22654,00;2753,00;586,82;782;1
GIOVANNI DENTI;19;29;0;15;11805,00;5296,00;17101,00;2021,00;407,07;621;2
SEBASTIEN BARBIER;24;32;0;14;14003,00;8198,00;22201,00;2556,00;437,59;583;1
MME CANDICE SPERRY;34;47;0;14;11810,00;2944,00;14754,00;2078,00;251,28;347;1
MME MAELYS HERVE;21;26;0;12;15588,00;2181,00;17769,00;2730,00;599,54;742;1
MME ELLA MUNTWYLER;7;14;0;12;9868,00;5008,00;14876,00;1707,00;704,86;1410;2
TIMOTHE BREBION;17;24;0;11;15196,00;9184,00;24380,00;2897,00;633,17;894;1
JEAN-BAPTISTE VIGIE;24;39;0;11;8980,00;5241,00;14221,00;1662,00;230,26;374;2
MICKAEL BERTO;17;21;0;10;17290,00;4207,00;21497,00;3018,00;823,33;1017;1
NICOLAS BAUDET;16;29;0;10;12260,00;4346,00;16606,00;1542,00;422,76;766;2
MME LUCIE CASTILLON;12;22;0;10;8830,00;3169,00;11999,00;1462,00;401,36;736;2
THOMAS POTEAUX;11;12;0;9;14925,00;0,00;14925,00;2633,00;1243,75;1357;1
MME SIBYLLE VOGT;18;20;0;9;13610,00;3168,00;16778,00;1505,00;680,50;756;1
BRENYS MARIN ESTUPINAN DURAN;8;14;0;9;9825,00;3463,00;13288,00;1720,00;701,79;1228;2
CLIFFORD LEE;9;10;0;8;97430,00;1800,00;99230,00;754,00;9743,00;10826;1
MME ROMANE ALAVEZ;7;14;0;8;10382,00;6576,00;16958,00;2178,00;741,57;1483;2
MME MELINE SIVAN;10;16;0;8;8790,00;5605,00;14395,00;1868,00;549,38;879;2
GABRIEL ROTH LE VAILLANT;17;20;0;7;10088,00;3413,00;13501,00;1763,00;504,40;593;1
MME AUDE DUPORTE;8;12;0;7;9650,00;2438,00;12088,00;914,00;804,17;1206;2
MME OPHELIE THIEBAUT;13;25;0;6;12022,00;7070,00;19092,00;2479,00;480,88;925;2
THOMAS JOURNIAC;9;11;0;6;9250,00;0,00;9250,00;1641,00;840,91;1028;1
ERWAN BURELLER;5;10;0;6;7515,00;0,00;7515,00;1292,00;751,50;1503;2
MME SARAH PEDRON;15;20;0;6;5535,00;3078,00;8613,00;1137,00;276,75;369;1
JAIME GELABERT BAUTISTA;8;8;0;5;10635,00;1215,00;11850,00;368,00;1329,38;1329;1
CONCETTO SANTANGELO;9;11;0;5;10200,00;2415,00;12615,00;872,00;927,27;1133;1
TITOUAN SPORLI;8;9;0;5;5000,00;0,00;5000,00;888,00;555,56;625;1
WILLIAM BUICK;7;7;0;4;607990,00;0,00;607990,00;0,00;86855,71;86856;1
TOM MARQUAND;11;11;0;4;81368,00;0,00;81368,00;0,00;7397,09;7397;1
ANDRASCH STARKE;4;4;0;4;26725,00;2100,00;28825,00;637,00;6681,25;6681;1
ANGELO ZULIANI;5;6;0;4;6227,00;0,00;6227,00;1118,00;1037,83;1245;1
MME MORGANE TEVELS;9;11;0;4;5325,00;2204,00;7529,00;990,00;484,09;592;1
MME ANNA VAN DEN TROOST;17;19;0;4;4410,00;1524,00;5934,00;499,00;232,11;259;1
MARC NOBILI;9;15;0;4;3750,00;2332,00;6082,00;683,00;250,00;417;2
MME GWLADYS FRADELIN;4;6;0;4;2490,00;948,00;3438,00;457,00;415,00;622;2
YOANN BABOT;10;12;0;4;2390,00;1459,00;3849,00;474,00;199,17;239;1
COLIN KEANE;8;8;0;3;97275,00;0,00;97275,00;0,00;12159,38;12159;1
ALEXANDER PIETSCH;5;7;0;3;6290,00;0,00;6290,00;0,00;898,57;1258;1
LUCAS HUTEAU;3;3;0;3;4680,00;0,00;4680,00;841,00;1560,00;1560;1
MME MARGOT BESNARD;5;7;0;3;4212,00;0,00;4212,00;719,00;601,71;842;1
